"V1","V2","V3","V4","V5"
"1","Under5","white","extreme_poverty","manhattan","Not_disabled"
"2","Under5","white","extreme_poverty","manhattan","Not_disabled"
"3","Under5","white","extreme_poverty","manhattan","Not_disabled"
"4","Under5","white","extreme_poverty","manhattan","Not_disabled"
"5","Under5","white","extreme_poverty","manhattan","Not_disabled"
"6","Under5","white","extreme_poverty","manhattan","Not_disabled"
"7","Under5","white","extreme_poverty","manhattan","Not_disabled"
"8","Under5","white","extreme_poverty","manhattan","Not_disabled"
"9","Under5","white","extreme_poverty","manhattan","Not_disabled"
"10","Under5","white","extreme_poverty","manhattan","Not_disabled"
"11","Under5","white","extreme_poverty","manhattan","Not_disabled"
"12","Under5","white","extreme_poverty","manhattan","Not_disabled"
"13","Under5","white","extreme_poverty","manhattan","Not_disabled"
"14","Under5","white","extreme_poverty","manhattan","Not_disabled"
"15","Under5","white","extreme_poverty","manhattan","Not_disabled"
"16","Under5","white","extreme_poverty","manhattan","Not_disabled"
"17","Under5","white","extreme_poverty","manhattan","Not_disabled"
"18","Under5","white","extreme_poverty","manhattan","Not_disabled"
"19","Under5","white","extreme_poverty","manhattan","Not_disabled"
"20","Under5","white","extreme_poverty","manhattan","Not_disabled"
"21","Under5","white","extreme_poverty","manhattan","Not_disabled"
"22","Under5","white","extreme_poverty","manhattan","Not_disabled"
"23","Under5","white","extreme_poverty","manhattan","Not_disabled"
"24","Under5","white","extreme_poverty","manhattan","Not_disabled"
"25","5to17","white","extreme_poverty","manhattan","Not_disabled"
"26","5to17","white","extreme_poverty","manhattan","Not_disabled"
"27","5to17","white","extreme_poverty","manhattan","Not_disabled"
"28","5to17","white","extreme_poverty","manhattan","Not_disabled"
"29","5to17","white","extreme_poverty","manhattan","Not_disabled"
"30","5to17","white","extreme_poverty","manhattan","Not_disabled"
"31","5to17","white","extreme_poverty","manhattan","Not_disabled"
"32","5to17","white","below_poverty","manhattan","Not_disabled"
"33","5to17","white","below_poverty","manhattan","Not_disabled"
"34","5to17","white","below_poverty","manhattan","Not_disabled"
"35","5to17","white","below_poverty","manhattan","Not_disabled"
"36","5to17","white","below_poverty","manhattan","Not_disabled"
"37","5to17","white","below_poverty","manhattan","Not_disabled"
"38","5to17","white","below_poverty","manhattan","Not_disabled"
"39","5to17","white","below_poverty","manhattan","Not_disabled"
"40","5to17","white","below_poverty","manhattan","Not_disabled"
"41","5to17","white","below_poverty","manhattan","Not_disabled"
"42","5to17","white","below_poverty","manhattan","Not_disabled"
"43","5to17","white","below_poverty","manhattan","Not_disabled"
"44","5to17","white","below_poverty","manhattan","Not_disabled"
"45","5to17","white","below_poverty","manhattan","Not_disabled"
"46","5to17","white","below_poverty","manhattan","Not_disabled"
"47","5to17","white","below_poverty","manhattan","Not_disabled"
"48","5to17","white","below_poverty","manhattan","Not_disabled"
"49","5to17","white","below_poverty","manhattan","Not_disabled"
"50","5to17","white","below_poverty","manhattan","Not_disabled"
"51","5to17","white","below_poverty","manhattan","Not_disabled"
"52","5to17","white","below_poverty","manhattan","Not_disabled"
"53","5to17","white","below_poverty","manhattan","Not_disabled"
"54","5to17","white","below_poverty","manhattan","Not_disabled"
"55","5to17","white","below_poverty","manhattan","Not_disabled"
"56","5to17","white","below_poverty","manhattan","Not_disabled"
"57","5to17","white","below_poverty","manhattan","Not_disabled"
"58","5to17","white","below_poverty","manhattan","Not_disabled"
"59","5to17","white","below_poverty","manhattan","Not_disabled"
"60","5to17","white","below_poverty","manhattan","Not_disabled"
"61","5to17","white","below_poverty","manhattan","Not_disabled"
"62","5to17","white","below_poverty","manhattan","Not_disabled"
"63","5to17","white","below_poverty","manhattan","Not_disabled"
"64","5to17","white","below_poverty","manhattan","Not_disabled"
"65","5to17","white","below_poverty","manhattan","Not_disabled"
"66","5to17","white","below_poverty","manhattan","Not_disabled"
"67","5to17","white","below_poverty","manhattan","Not_disabled"
"68","5to17","white","below_poverty","manhattan","Not_disabled"
"69","5to17","white","below_poverty","manhattan","Not_disabled"
"70","5to17","white","below_poverty","manhattan","Not_disabled"
"71","5to17","white","below_poverty","manhattan","Not_disabled"
"72","5to17","white","below_poverty","manhattan","Not_disabled"
"73","5to17","white","below_poverty","manhattan","Not_disabled"
"74","5to17","white","near_poor","manhattan","Not_disabled"
"75","5to17","white","near_poor","manhattan","Not_disabled"
"76","5to17","white","near_poor","manhattan","Not_disabled"
"77","5to17","white","near_poor","manhattan","Not_disabled"
"78","5to17","white","near_poor","manhattan","Not_disabled"
"79","5to17","white","near_poor","manhattan","Not_disabled"
"80","5to17","white","near_poor","manhattan","Not_disabled"
"81","5to17","white","near_poor","manhattan","Not_disabled"
"82","5to17","white","near_poor","manhattan","Not_disabled"
"83","5to17","white","near_poor","manhattan","Not_disabled"
"84","5to17","white","near_poor","manhattan","Not_disabled"
"85","18to34","white","near_poor","manhattan","Not_disabled"
"86","18to34","white","near_poor","manhattan","Not_disabled"
"87","18to34","white","near_poor","manhattan","Not_disabled"
"88","18to34","white","near_poor","manhattan","Not_disabled"
"89","18to34","white","near_poor","manhattan","Not_disabled"
"90","18to34","white","near_poor","manhattan","Not_disabled"
"91","18to34","white","near_poor","manhattan","Not_disabled"
"92","18to34","white","near_poor","manhattan","Not_disabled"
"93","18to34","white","near_poor","manhattan","Not_disabled"
"94","18to34","white","above_poor","manhattan","Not_disabled"
"95","18to34","white","above_poor","manhattan","Not_disabled"
"96","18to34","white","above_poor","manhattan","Not_disabled"
"97","18to34","white","above_poor","manhattan","Not_disabled"
"98","18to34","white","above_poor","manhattan","Not_disabled"
"99","18to34","white","above_poor","manhattan","Not_disabled"
"100","18to34","white","above_poor","manhattan","Not_disabled"
"101","18to34","white","above_poor","manhattan","Not_disabled"
"102","18to34","white","above_poor","manhattan","Not_disabled"
"103","18to34","white","above_poor","manhattan","Not_disabled"
"104","18to34","white","above_poor","manhattan","Not_disabled"
"105","18to34","white","above_poor","manhattan","Not_disabled"
"106","18to34","white","above_poor","manhattan","Not_disabled"
"107","18to34","white","above_poor","manhattan","Not_disabled"
"108","18to34","white","above_poor","manhattan","Not_disabled"
"109","18to34","white","above_poor","manhattan","Not_disabled"
"110","18to34","white","above_poor","manhattan","Not_disabled"
"111","18to34","white","above_poor","manhattan","Not_disabled"
"112","18to34","white","above_poor","manhattan","Not_disabled"
"113","18to34","white","above_poor","manhattan","Not_disabled"
"114","18to34","white","above_poor","manhattan","Not_disabled"
"115","18to34","white","above_poor","manhattan","Not_disabled"
