age,race,income,borough,disability
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
Under5,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,extreme_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
5to17,white,below_poverty,manhattan,Not_disabled
